Produce_Variety,Commodity_Type,Unit,Volume_in_Kgs,Values_in_Ksh,Date
Horticulture,Cauliflower,crate,39,2087.0,9/1/2012 0:00
Horticulture,Lettuce,Bag,51,4983.0,9/1/2012 0:00
Horticulture,Passion Fruits,Bag,57,3536.0,9/1/2012 0:00
Horticulture,Oranges,Bag,93,3163.0,9/1/2012 0:00
Horticulture,Lemons,Bag,95,1374.0,9/1/2012 0:00
Horticulture,Mangoes Local,Bag,126,2013.0,9/1/2012 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,932.0,9/1/2012 0:00
Horticulture,Limes,net,13,626.0,9/1/2012 0:00
Horticulture,Pineapples,Dozen,13,935.0,9/1/2012 0:00
Horticulture,Pawpaw,Lg Box,54,1715.0,9/1/2012 0:00
Horticulture,Avocado,Bag,90,1975.0,9/1/2012 0:00
Horticulture,Kales,Bag,50,764.0,9/1/2012 0:00
Horticulture,Cabbages,Ext Bag,126,1643.0,10/1/2012 0:00
Horticulture,Cooking Bananas,Med Bunch,22,626.0,10/1/2012 0:00
Horticulture,Ripe Bananas,Med Bunch,14,636.0,10/1/2012 0:00
Horticulture,Carrots,Ext Bag,138,2778.0,10/1/2012 0:00
Horticulture,Tomatoes,Lg Box,64,2576.0,10/1/2012 0:00
Horticulture,Onions Dry,net,13,819.0,10/1/2012 0:00
Horticulture,Spring Onions,Bag,142,1852.0,10/1/2012 0:00
Horticulture,Chillies,Bag,38,2592.0,10/1/2012 0:00
Horticulture,Cucumber,Bag,50,2020.0,10/1/2012 0:00
Horticulture,Capsicums,Bag,50,2439.0,10/1/2012 0:00
Horticulture,Brinjals,Bag,44,1386.0,10/1/2012 0:00
Horticulture,Cauliflower,crate,39,1883.0,10/1/2012 0:00
Horticulture,Lettuce,Bag,51,4944.0,10/1/2012 0:00
Horticulture,Passion Fruits,Bag,57,3429.0,10/1/2012 0:00
Horticulture,Oranges,Bag,93,3003.0,10/1/2012 0:00
Horticulture,Lemons,Bag,95,1455.0,10/1/2012 0:00
Horticulture,Mangoes Local,Bag,126,1862.0,10/1/2012 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,1174.0,10/1/2012 0:00
Horticulture,Limes,net,13,680.0,10/1/2012 0:00
Horticulture,Pineapples,Dozen,13,841.0,10/1/2012 0:00
Horticulture,Pawpaw,Lg Box,54,1431.0,10/1/2012 0:00
Horticulture,Avocado,Bag,90,1860.0,10/1/2012 0:00
Horticulture,Kales,Bag,50,749.0,10/1/2012 0:00
Horticulture,Cabbages,Ext Bag,126,1410.0,11/1/2012 0:00
Horticulture,Cooking Bananas,Med Bunch,22,548.0,11/1/2012 0:00
Horticulture,Ripe Bananas,Med Bunch,14,593.0,11/1/2012 0:00
Horticulture,Carrots,Ext Bag,138,2515.0,11/1/2012 0:00
Horticulture,Tomatoes,Lg Box,64,3392.0,11/1/2012 0:00
Horticulture,Onions Dry,net,13,907.0,11/1/2012 0:00
Horticulture,Spring Onions,Bag,142,2015.0,11/1/2012 0:00
Horticulture,Chillies,Bag,38,2387.0,11/1/2012 0:00
Horticulture,Cucumber,Bag,50,1756.0,11/1/2012 0:00
Horticulture,Capsicums,Bag,50,2088.0,11/1/2012 0:00
Horticulture,Brinjals,Bag,44,1325.0,11/1/2012 0:00
Horticulture,Cauliflower,crate,39,1364.0,11/1/2012 0:00
Horticulture,Lettuce,Bag,51,2182.0,11/1/2012 0:00
Horticulture,Passion Fruits,Bag,57,3505.0,11/1/2012 0:00
Horticulture,Oranges,Bag,93,2678.0,11/1/2012 0:00
Horticulture,Lemons,Bag,95,1546.0,11/1/2012 0:00
Horticulture,Mangoes Local,Bag,126,1807.0,11/1/2012 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,875.0,11/1/2012 0:00
Horticulture,Limes,net,13,847.0,11/1/2012 0:00
Horticulture,Pineapples,Dozen,13,778.0,11/1/2012 0:00
Horticulture,Pawpaw,Lg Box,54,1298.0,11/1/2012 0:00
Horticulture,Avocado,Bag,90,1847.0,11/1/2012 0:00
Horticulture,Kales,Bag,50,670.0,11/1/2012 0:00
Horticulture,Cabbages,Ext Bag,126,1504.0,12/1/2012 0:00
Horticulture,Cooking Bananas,Med Bunch,22,547.0,12/1/2012 0:00
Horticulture,Ripe Bananas,Med Bunch,14,577.0,12/1/2012 0:00
Horticulture,Carrots,Ext Bag,138,2507.0,12/1/2012 0:00
Horticulture,Tomatoes,Lg Box,64,3348.0,12/1/2012 0:00
Horticulture,Onions Dry,net,13,900.0,12/1/2012 0:00
Horticulture,Spring Onions,Bag,142,2390.0,12/1/2012 0:00
Horticulture,Chillies,Bag,38,3300.0,12/1/2012 0:00
Horticulture,Cucumber,Bag,50,1861.0,12/1/2012 0:00
Horticulture,Capsicums,Bag,50,2222.0,12/1/2012 0:00
Horticulture,Brinjals,Bag,44,1427.0,12/1/2012 0:00
Horticulture,Cauliflower,crate,39,1993.0,12/1/2012 0:00
