Produce_Variety,Commodity_Type,Unit,Volume_in_Kgs,Values_in_Ksh,Date,OBJECTID
Horticulture,Kales,Bag,50,1580.0,4/1/2012 0:00,91
Horticulture,Cabbages,Ext Bag,126,2105.0,5/1/2012 0:00,92
Horticulture,Cooking Bananas,Med Bunch,22,565.0,5/1/2012 0:00,93
Horticulture,Ripe Bananas,Med Bunch,14,630.0,5/1/2012 0:00,94
Horticulture,Carrots,Ext Bag,138,3752.0,5/1/2012 0:00,95
Horticulture,Tomatoes,Lg Box,64,3302.0,5/1/2012 0:00,96
Horticulture,Onions Dry,net,13,1153.0,5/1/2012 0:00,97
Horticulture,Spring Onions,Bag,142,1793.0,5/1/2012 0:00,98
Horticulture,Chillies,Bag,38,2889.0,5/1/2012 0:00,99
Horticulture,Cucumber,Bag,50,2072.0,5/1/2012 0:00,100
Horticulture,Capsicums,Bag,50,2758.0,5/1/2012 0:00,101
Horticulture,Brinjals,Bag,44,1390.0,5/1/2012 0:00,102
Horticulture,Cauliflower,crate,39,2969.0,5/1/2012 0:00,103
Horticulture,Lettuce,Bag,51,3390.0,5/1/2012 0:00,104
Horticulture,Passion Fruits,Bag,57,3633.0,5/1/2012 0:00,105
Horticulture,Oranges,Bag,93,2708.0,5/1/2012 0:00,106
Horticulture,Lemons,Bag,95,1461.0,5/1/2012 0:00,107
Horticulture,Mangoes Local,Bag,126,1960.0,5/1/2012 0:00,108
Horticulture,Mangoes Ngowe,Sm Basket,25,1132.0,5/1/2012 0:00,109
Horticulture,Limes,net,13,681.0,5/1/2012 0:00,110
Horticulture,Pineapples,Dozen,13,788.0,5/1/2012 0:00,111
Horticulture,Pawpaw,Lg Box,54,1428.0,5/1/2012 0:00,112
Horticulture,Avocado,Bag,90,1939.0,5/1/2012 0:00,113
Horticulture,Kales,Bag,50,1206.0,5/1/2012 0:00,114
Horticulture,Cabbages,Ext Bag,126,2221.0,6/1/2012 0:00,115
Horticulture,Cooking Bananas,Med Bunch,22,589.0,6/1/2012 0:00,116
Horticulture,Ripe Bananas,Med Bunch,14,659.0,6/1/2012 0:00,117
Horticulture,Carrots,Ext Bag,138,4147.0,6/1/2012 0:00,118
Horticulture,Tomatoes,Lg Box,64,4172.0,6/1/2012 0:00,119
Horticulture,Onions Dry,net,13,1229.0,6/1/2012 0:00,120
Horticulture,Spring Onions,Bag,142,1993.0,6/1/2012 0:00,121
Horticulture,Chillies,Bag,38,2658.0,6/1/2012 0:00,122
Horticulture,Cucumber,Bag,50,1893.0,6/1/2012 0:00,123
Horticulture,Capsicums,Bag,50,2758.0,6/1/2012 0:00,124
Horticulture,Brinjals,Bag,44,1606.0,6/1/2012 0:00,125
Horticulture,Cauliflower,crate,39,2147.0,6/1/2012 0:00,126
Horticulture,Lettuce,Bag,51,3281.0,6/1/2012 0:00,127
Horticulture,Passion Fruits,Bag,57,3636.0,6/1/2012 0:00,128
Horticulture,Oranges,Bag,93,2410.0,6/1/2012 0:00,129
Horticulture,Lemons,Bag,95,1767.0,6/1/2012 0:00,130
Horticulture,Mangoes Local,Bag,126,2018.0,6/1/2012 0:00,131
Horticulture,Mangoes Ngowe,Sm Basket,25,1004.0,6/1/2012 0:00,132
Horticulture,Limes,net,13,655.0,6/1/2012 0:00,133
Horticulture,Pineapples,Dozen,13,851.0,6/1/2012 0:00,134
Horticulture,Pawpaw,Lg Box,54,1406.0,6/1/2012 0:00,135
Horticulture,Avocado,Bag,90,1971.0,6/1/2012 0:00,136
Horticulture,Kales,Bag,50,1272.0,6/1/2012 0:00,137
Horticulture,Cabbages,Ext Bag,126,2034.0,7/1/2012 0:00,138
Horticulture,Cooking Bananas,Med Bunch,22,544.0,7/1/2012 0:00,139
Horticulture,Ripe Bananas,Med Bunch,14,582.0,7/1/2012 0:00,140
Horticulture,Carrots,Ext Bag,138,4534.0,7/1/2012 0:00,141
Horticulture,Tomatoes,Lg Box,64,2602.0,7/1/2012 0:00,142
Horticulture,Onions Dry,net,13,1004.0,7/1/2012 0:00,143
Horticulture,Spring Onions,Bag,142,2103.0,7/1/2012 0:00,144
Horticulture,Chillies,Bag,38,2785.0,7/1/2012 0:00,145
Horticulture,Cucumber,Bag,50,1917.0,7/1/2012 0:00,146
Horticulture,Capsicums,Bag,50,2552.0,7/1/2012 0:00,147
Horticulture,Brinjals,Bag,44,1592.0,7/1/2012 0:00,148
Horticulture,Cauliflower,crate,39,2744.0,7/1/2012 0:00,149
Horticulture,Lettuce,Bag,51,3563.0,7/1/2012 0:00,150
Horticulture,Passion Fruits,Bag,57,3726.0,7/1/2012 0:00,151
Horticulture,Oranges,Bag,93,2413.0,7/1/2012 0:00,152
Horticulture,Lemons,Bag,95,1695.0,7/1/2012 0:00,153
Horticulture,Mangoes Local,Bag,126,1750.0,7/1/2012 0:00,154
Horticulture,Mangoes Ngowe,Sm Basket,25,1063.0,7/1/2012 0:00,155
Horticulture,Limes,net,13,602.0,7/1/2012 0:00,156
Horticulture,Pineapples,Dozen,13,831.0,7/1/2012 0:00,157
Horticulture,Pawpaw,Lg Box,54,1432.0,7/1/2012 0:00,158
Horticulture,Avocado,Bag,90,1741.0,7/1/2012 0:00,159
Horticulture,Kales,Bag,50,824.0,7/1/2012 0:00,160
Horticulture,Cabbages,Ext Bag,126,1905.0,8/1/2012 0:00,161
Horticulture,Cooking Bananas,Med Bunch,22,572.0,8/1/2012 0:00,162
Horticulture,Ripe Bananas,Med Bunch,14,542.0,8/1/2012 0:00,163
Horticulture,Carrots,Ext Bag,138,3850.0,8/1/2012 0:00,164
Horticulture,Tomatoes,Lg Box,64,2576.0,8/1/2012 0:00,165
Horticulture,Onions Dry,net,13,887.0,8/1/2012 0:00,166
Horticulture,Spring Onions,Bag,142,1975.0,8/1/2012 0:00,167
Horticulture,Chillies,Bag,38,2652.0,8/1/2012 0:00,168
Horticulture,Cucumber,Bag,50,1572.0,8/1/2012 0:00,169
Horticulture,Capsicums,Bag,50,2769.0,8/1/2012 0:00,170
Horticulture,Brinjals,Bag,44,1544.0,8/1/2012 0:00,171
Horticulture,Cauliflower,crate,39,2408.0,8/1/2012 0:00,172
Horticulture,Lettuce,Bag,51,4246.0,8/1/2012 0:00,173
