Produce_Variety,Commodity_Type,Unit,Volume_in_Kgs,Values_in_Ksh,Date,OBJECTID
Horticulture,Lemons,Bag,95,KES1767.00,6/1/2012 0:00,130
Horticulture,Mangoes Local,Bag,126,KES2018.00,6/1/2012 0:00,131
Horticulture,Mangoes Ngowe,Sm Basket,25,KES1004.00,6/1/2012 0:00,132
Horticulture,Limes,net,13,KES655.00,6/1/2012 0:00,133
Horticulture,Pineapples,Dozen,13,KES851.00,6/1/2012 0:00,134
Horticulture,Pawpaw,Lg Box,54,KES1406.00,6/1/2012 0:00,135
Horticulture,Avocado,Bag,90,KES1971.00,6/1/2012 0:00,136
Horticulture,Kales,Bag,50,KES1272.00,6/1/2012 0:00,137
Horticulture,Cabbages,Ext Bag,126,KES2034.00,7/1/2012 0:00,138
Horticulture,Cooking Bananas,Med Bunch,22,KES544.00,7/1/2012 0:00,139
Horticulture,Ripe Bananas,Med Bunch,14,KES582.00,7/1/2012 0:00,140
Horticulture,Carrots,Ext Bag,138,KES4534.00,7/1/2012 0:00,141
Horticulture,Tomatoes,Lg Box,64,KES2602.00,7/1/2012 0:00,142
Horticulture,Onions Dry,net,13,KES1004.00,7/1/2012 0:00,143
Horticulture,Spring Onions,Bag,142,KES2103.00,7/1/2012 0:00,144
Horticulture,Chillies,Bag,38,KES2785.00,7/1/2012 0:00,145
Horticulture,Cucumber,Bag,50,KES1917.00,7/1/2012 0:00,146
Horticulture,Capsicums,Bag,50,KES2552.00,7/1/2012 0:00,147
Horticulture,Brinjals,Bag,44,KES1592.00,7/1/2012 0:00,148
Horticulture,Cauliflower,crate,39,KES2744.00,7/1/2012 0:00,149
Horticulture,Lettuce,Bag,51,KES3563.00,7/1/2012 0:00,150
Horticulture,Passion Fruits,Bag,57,KES3726.00,7/1/2012 0:00,151
Horticulture,Oranges,Bag,93,KES2413.00,7/1/2012 0:00,152
Horticulture,Lemons,Bag,95,KES1695.00,7/1/2012 0:00,153
Horticulture,Mangoes Local,Bag,126,KES1750.00,7/1/2012 0:00,154
Horticulture,Mangoes Ngowe,Sm Basket,25,KES1063.00,7/1/2012 0:00,155
Horticulture,Limes,net,13,KES602.00,7/1/2012 0:00,156
Horticulture,Pineapples,Dozen,13,KES831.00,7/1/2012 0:00,157
Horticulture,Pawpaw,Lg Box,54,KES1432.00,7/1/2012 0:00,158
Horticulture,Avocado,Bag,90,KES1741.00,7/1/2012 0:00,159
Horticulture,Kales,Bag,50,KES824.00,7/1/2012 0:00,160
Horticulture,Cabbages,Ext Bag,126,KES1905.00,8/1/2012 0:00,161
Horticulture,Cooking Bananas,Med Bunch,22,KES572.00,8/1/2012 0:00,162
Horticulture,Ripe Bananas,Med Bunch,14,KES542.00,8/1/2012 0:00,163
Horticulture,Carrots,Ext Bag,138,KES3850.00,8/1/2012 0:00,164
Horticulture,Tomatoes,Lg Box,64,KES2576.00,8/1/2012 0:00,165
Horticulture,Onions Dry,net,13,KES887.00,8/1/2012 0:00,166
Horticulture,Spring Onions,Bag,142,KES1975.00,8/1/2012 0:00,167
Horticulture,Chillies,Bag,38,KES2652.00,8/1/2012 0:00,168
Horticulture,Cucumber,Bag,50,KES1572.00,8/1/2012 0:00,169
Horticulture,Capsicums,Bag,50,KES2769.00,8/1/2012 0:00,170
Horticulture,Brinjals,Bag,44,KES1544.00,8/1/2012 0:00,171
Horticulture,Cauliflower,crate,39,KES2408.00,8/1/2012 0:00,172
Horticulture,Lettuce,Bag,51,KES4246.00,8/1/2012 0:00,173
Horticulture,Passion Fruits,Bag,57,KES3291.00,8/1/2012 0:00,174
Horticulture,Oranges,Bag,93,KES2736.00,8/1/2012 0:00,175
Horticulture,Lemons,Bag,95,KES1749.00,8/1/2012 0:00,176
Horticulture,Mangoes Local,Bag,126,KES1791.00,8/1/2012 0:00,177
Horticulture,Mangoes Ngowe,Sm Basket,25,KES1013.00,8/1/2012 0:00,178
Horticulture,Limes,net,13,KES817.00,8/1/2012 0:00,179
Horticulture,Pineapples,Dozen,13,KES698.00,8/1/2012 0:00,180
Horticulture,Pawpaw,Lg Box,54,KES1388.00,8/1/2012 0:00,181
Horticulture,Avocado,Bag,90,KES1634.00,8/1/2012 0:00,182
Horticulture,Kales,Bag,50,KES682.00,8/1/2012 0:00,183
Horticulture,Cabbages,Ext Bag,126,KES1792.00,9/1/2012 0:00,184
Horticulture,Cooking Bananas,Med Bunch,22,KES571.00,9/1/2012 0:00,185
Horticulture,Ripe Bananas,Med Bunch,14,KES573.00,9/1/2012 0:00,186
Horticulture,Carrots,Ext Bag,138,KES3261.00,9/1/2012 0:00,187
Horticulture,Tomatoes,Lg Box,64,KES2602.00,9/1/2012 0:00,188
Horticulture,Onions Dry,net,13,KES1018.00,9/1/2012 0:00,189
Horticulture,Spring Onions,Bag,142,KES2097.00,9/1/2012 0:00,190
Horticulture,Chillies,Bag,38,KES3783.00,9/1/2012 0:00,191
Horticulture,Cucumber,Bag,50,KES1735.00,9/1/2012 0:00,192
Horticulture,Capsicums,Bag,50,KES2674.00,9/1/2012 0:00,193
Horticulture,Brinjals,Bag,44,KES1474.00,9/1/2012 0:00,194
Horticulture,Cauliflower,crate,39,KES2087.00,9/1/2012 0:00,195
Horticulture,Lettuce,Bag,51,KES4983.00,9/1/2012 0:00,196
Horticulture,Passion Fruits,Bag,57,KES3536.00,9/1/2012 0:00,197
Horticulture,Oranges,Bag,93,KES3163.00,9/1/2012 0:00,198
Horticulture,Lemons,Bag,95,KES1374.00,9/1/2012 0:00,199
Horticulture,Mangoes Local,Bag,126,KES2013.00,9/1/2012 0:00,200
Horticulture,Mangoes Ngowe,Sm Basket,25,KES932.00,9/1/2012 0:00,201
Horticulture,Limes,net,13,KES626.00,9/1/2012 0:00,202
Horticulture,Pineapples,Dozen,13,KES935.00,9/1/2012 0:00,203
Horticulture,Pawpaw,Lg Box,54,KES1715.00,9/1/2012 0:00,204
Horticulture,Avocado,Bag,90,KES1975.00,9/1/2012 0:00,205
Horticulture,Kales,Bag,50,KES764.00,9/1/2012 0:00,206
Horticulture,Cabbages,Ext Bag,126,KES1643.00,10/1/2012 0:00,207
Horticulture,Cooking Bananas,Med Bunch,22,KES626.00,10/1/2012 0:00,208
Horticulture,Ripe Bananas,Med Bunch,14,KES636.00,10/1/2012 0:00,209
Horticulture,Carrots,Ext Bag,138,KES2778.00,10/1/2012 0:00,210
Horticulture,Tomatoes,Lg Box,64,KES2576.00,10/1/2012 0:00,211
Horticulture,Onions Dry,net,13,KES819.00,10/1/2012 0:00,212
Horticulture,Spring Onions,Bag,142,KES1852.00,10/1/2012 0:00,213
Horticulture,Chillies,Bag,38,KES2592.00,10/1/2012 0:00,214
Horticulture,Cucumber,Bag,50,KES2020.00,10/1/2012 0:00,215
Horticulture,Capsicums,Bag,50,KES2439.00,10/1/2012 0:00,216
Horticulture,Brinjals,Bag,44,KES1386.00,10/1/2012 0:00,217
Horticulture,Cauliflower,crate,39,KES1883.00,10/1/2012 0:00,218
Horticulture,Lettuce,Bag,51,KES4944.00,10/1/2012 0:00,219
Horticulture,Passion Fruits,Bag,57,KES3429.00,10/1/2012 0:00,220
Horticulture,Oranges,Bag,93,KES3003.00,10/1/2012 0:00,221
Horticulture,Lemons,Bag,95,KES1455.00,10/1/2012 0:00,222
Horticulture,Mangoes Local,Bag,126,KES1862.00,10/1/2012 0:00,223
Horticulture,Mangoes Ngowe,Sm Basket,25,KES1174.00,10/1/2012 0:00,224
Horticulture,Limes,net,13,KES680.00,10/1/2012 0:00,225
Horticulture,Pineapples,Dozen,13,KES841.00,10/1/2012 0:00,226
Horticulture,Pawpaw,Lg Box,54,KES1431.00,10/1/2012 0:00,227
Horticulture,Avocado,Bag,90,KES1860.00,10/1/2012 0:00,228
Horticulture,Kales,Bag,50,KES749.00,10/1/2012 0:00,229
Horticulture,Cabbages,Ext Bag,126,KES1410.00,11/1/2012 0:00,230
Horticulture,Cooking Bananas,Med Bunch,22,KES548.00,11/1/2012 0:00,231
Horticulture,Ripe Bananas,Med Bunch,14,KES593.00,11/1/2012 0:00,232
Horticulture,Carrots,Ext Bag,138,KES2515.00,11/1/2012 0:00,233
Horticulture,Tomatoes,Lg Box,64,KES3392.00,11/1/2012 0:00,234
Horticulture,Onions Dry,net,13,KES907.00,11/1/2012 0:00,235
Horticulture,Spring Onions,Bag,142,KES2015.00,11/1/2012 0:00,236
Horticulture,Chillies,Bag,38,KES2387.00,11/1/2012 0:00,237
Horticulture,Cucumber,Bag,50,KES1756.00,11/1/2012 0:00,238
Horticulture,Capsicums,Bag,50,KES2088.00,11/1/2012 0:00,239
Horticulture,Brinjals,Bag,44,KES1325.00,11/1/2012 0:00,240
Horticulture,Cauliflower,crate,39,KES1364.00,11/1/2012 0:00,241
Horticulture,Lettuce,Bag,51,KES2182.00,11/1/2012 0:00,242
Horticulture,Passion Fruits,Bag,57,KES3505.00,11/1/2012 0:00,243
Horticulture,Oranges,Bag,93,KES2678.00,11/1/2012 0:00,244
Horticulture,Lemons,Bag,95,KES1546.00,11/1/2012 0:00,245
Horticulture,Mangoes Local,Bag,126,KES1807.00,11/1/2012 0:00,246
Horticulture,Mangoes Ngowe,Sm Basket,25,KES875.00,11/1/2012 0:00,247
Horticulture,Limes,net,13,KES847.00,11/1/2012 0:00,248
Horticulture,Pineapples,Dozen,13,KES778.00,11/1/2012 0:00,249
Horticulture,Pawpaw,Lg Box,54,KES1298.00,11/1/2012 0:00,250
Horticulture,Avocado,Bag,90,KES1847.00,11/1/2012 0:00,251
Horticulture,Kales,Bag,50,KES670.00,11/1/2012 0:00,252
Horticulture,Cabbages,Ext Bag,126,KES1504.00,12/1/2012 0:00,253
Horticulture,Cooking Bananas,Med Bunch,22,KES547.00,12/1/2012 0:00,254
Horticulture,Ripe Bananas,Med Bunch,14,KES577.00,12/1/2012 0:00,255
Horticulture,Carrots,Ext Bag,138,KES2507.00,12/1/2012 0:00,256
Horticulture,Tomatoes,Lg Box,64,KES3348.00,12/1/2012 0:00,257
Horticulture,Onions Dry,net,13,KES900.00,12/1/2012 0:00,258
Horticulture,Spring Onions,Bag,142,KES2390.00,12/1/2012 0:00,259
Horticulture,Chillies,Bag,38,KES3300.00,12/1/2012 0:00,260
Horticulture,Cucumber,Bag,50,KES1861.00,12/1/2012 0:00,261
Horticulture,Capsicums,Bag,50,KES2222.00,12/1/2012 0:00,262
Horticulture,Brinjals,Bag,44,KES1427.00,12/1/2012 0:00,263
Horticulture,Cauliflower,crate,39,KES1993.00,12/1/2012 0:00,264
Horticulture,Lettuce,Bag,51,KES3932.00,12/1/2012 0:00,265
Horticulture,Passion Fruits,Bag,57,KES3548.00,12/1/2012 0:00,266
Horticulture,Oranges,Bag,93,KES2877.00,12/1/2012 0:00,267
