Produce_Variety,Commodity_Type,Unit,Volume_in_Kgs,Values_in_Ksh,Date,OBJECTID
Horticulture,Ripe Bananas,Med Bunch,14,659.0,6/1/2012 ,117
Horticulture,Carrots,Ext Bag,138,4147.0,6/1/2012 ,118
Horticulture,Tomatoes,Lg Box,64,4172.0,6/1/2012 ,119
Horticulture,Onions Dry,net,13,1229.0,6/1/2012 ,120
Horticulture,Spring Onions,Bag,142,1993.0,6/1/2012 ,121
Horticulture,Chillies,Bag,38,2658.0,6/1/2012 ,122
Horticulture,Cucumber,Bag,50,1893.0,6/1/2012 ,123
Horticulture,Capsicums,Bag,50,2758.0,6/1/2012 ,124
Horticulture,Brinjals,Bag,44,1606.0,6/1/2012 ,125
Horticulture,Cauliflower,crate,39,2147.0,6/1/2012 ,126
Horticulture,Lettuce,Bag,51,3281.0,6/1/2012 ,127
Horticulture,Passion Fruits,Bag,57,3636.0,6/1/2012 ,128
Horticulture,Oranges,Bag,93,2410.0,6/1/2012 ,129
Horticulture,Lemons,Bag,95,1767.0,6/1/2012 ,130
Horticulture,Mangoes Local,Bag,126,2018.0,6/1/2012 ,131
Horticulture,Mangoes Ngowe,Sm Basket,25,1004.0,6/1/2012 ,132
Horticulture,Limes,net,13,655.0,6/1/2012 ,133
Horticulture,Pineapples,Dozen,13,851.0,6/1/2012 ,134
Horticulture,Pawpaw,Lg Box,54,1406.0,6/1/2012 ,135
Horticulture,Avocado,Bag,90,1971.0,6/1/2012 ,136
Horticulture,Kales,Bag,50,1272.0,6/1/2012 ,137
Horticulture,Cabbages,Ext Bag,126,2034.0,7/1/2012 ,138
Horticulture,Cooking Bananas,Med Bunch,22,544.0,7/1/2012 ,139
Horticulture,Ripe Bananas,Med Bunch,14,582.0,7/1/2012 ,140
Horticulture,Carrots,Ext Bag,138,4534.0,7/1/2012 ,141
Horticulture,Tomatoes,Lg Box,64,2602.0,7/1/2012 ,142
Horticulture,Onions Dry,net,13,1004.0,7/1/2012 ,143
Horticulture,Spring Onions,Bag,142,2103.0,7/1/2012 ,144
Horticulture,Chillies,Bag,38,2785.0,7/1/2012 ,145
Horticulture,Cucumber,Bag,50,1917.0,7/1/2012 ,146
Horticulture,Capsicums,Bag,50,2552.0,7/1/2012 ,147
Horticulture,Brinjals,Bag,44,1592.0,7/1/2012 ,148
Horticulture,Cauliflower,crate,39,2744.0,7/1/2012 ,149
Horticulture,Lettuce,Bag,51,3563.0,7/1/2012 ,150
Horticulture,Passion Fruits,Bag,57,3726.0,7/1/2012 ,151
Horticulture,Oranges,Bag,93,2413.0,7/1/2012 ,152
Horticulture,Lemons,Bag,95,1695.0,7/1/2012 ,153
Horticulture,Mangoes Local,Bag,126,1750.0,7/1/2012 ,154
Horticulture,Mangoes Ngowe,Sm Basket,25,1063.0,7/1/2012 ,155
Horticulture,Limes,net,13,602.0,7/1/2012 ,156
Horticulture,Pineapples,Dozen,13,831.0,7/1/2012 ,157
Horticulture,Pawpaw,Lg Box,54,1432.0,7/1/2012 ,158
Horticulture,Avocado,Bag,90,1741.0,7/1/2012 ,159
Horticulture,Kales,Bag,50,824.0,7/1/2012 ,160
Horticulture,Cabbages,Ext Bag,126,1905.0,8/1/2012 ,161
Horticulture,Cooking Bananas,Med Bunch,22,572.0,8/1/2012 ,162
Horticulture,Ripe Bananas,Med Bunch,14,542.0,8/1/2012 ,163
Horticulture,Carrots,Ext Bag,138,3850.0,8/1/2012 ,164
